time,open,high,low,close,Volume
1786358700,7786,7788,7783.75,7785.25,2082
1786359600,7785.5,7786.5,7778.5,7780.5,4572
1786360500,7780.5,7786,7780,7785.75,2992
1786361400,7785.75,7787.5,7784,7784,3174
1786362300,7783.75,7785.25,7780.75,7782.25,3345
1786363200,7782.25,7785.75,7781,7781.5,3655
1786364100,7781.25,7781.5,7776.5,7778.75,4439
1786365000,7779,7779.25,7772.75,7774.5,6022
1786365900,7774.5,7775.75,7771.5,7773.5,3919
1786366800,7773.75,7777.25,7772.75,7776.5,5675
1786367700,7776.25,7777.75,7769.25,7773,11234
1786368600,7773,7783.25,7771.25,7773,52432
1786369500,7773,7782,7771,7781,38254
1786370400,7780.75,7789.5,7780.25,7789,36593
1786371300,7789,7791.25,7784,7790,31986
1786372200,7790,7793.5,7788.25,7792.5,26089
1786373100,7792.5,7797,7781.25,7781.5,43969
1786374000,7781.5,7787,7779.25,7784.5,34212
1786374900,7784.75,7788.75,7780.5,7784.25,23470
1786375800,7784,7785.25,7778,7784.5,23437
1786376700,7784.5,7790.75,7781.25,7789.75,22474
1786377600,7789.75,7791.25,7784.25,7784.25,17583
1786378500,7784.25,7785.75,7780,7780.25,17669
1786379400,7780.5,7781.5,7763.75,7768,36346
1786380300,7768,7776.25,7765.5,7776.25,23950
1786381200,7776.25,7779,7771.5,7777.75,17153
1786382100,7777.5,7779.5,7775,7777.75,11311
1786383000,7777.75,7779.5,7772.5,7772.75,11811
1786383900,7773,7774.75,7771.25,7774,11858
1786384800,7773.75,7777.25,7773,7773.25,12874
1786385700,7773.25,7774,7771.5,7771.75,8538
1786386600,7771.75,7775.75,7769.5,7775.25,14557
1786387500,7775.25,7779.75,7774,7778.5,13323
1786388400,7778.75,7780.75,7777.25,7779.75,12718
1786389300,7779.75,7781.25,7775.5,7776,11839
1786390200,7776,7779.5,7773.75,7777.5,15483
1786391100,7777.5,7779,7770.25,7778,37419
1786392000,7778,7778.25,7774.75,7775.25,7408
1786392900,7775.25,7776.75,7773,7776.25,3332
1786393800,7776.25,7776.75,7774.75,7776.25,1685
1786394700,7776.5,7778.5,7776,7777,2416
1786399200,7778.5,7781.25,7776.75,7777.75,2166
1786400100,7777.5,7778,7773.25,7774.5,1987
1786401000,7774.5,7774.75,7771.25,7772.25,1983
1786401900,7772.25,7773.75,7772,7773.25,965
1786402800,7773.5,7774,7772,7772.5,1638
1786403700,7772.75,7772.75,7769.25,7770,2315
1786404600,7770,7772,7768.75,7771.75,1644
1786405500,7771.5,7773,7766.75,7770.75,3451
1786406400,7770.75,7777,7767.75,7776.5,4910
1786407300,7776.25,7778.25,7773.5,7778,2862
1786408200,7778,7780.25,7776.75,7779.5,2711
1786409100,7779.75,7781.25,7779,7779.75,2109
1786410000,7779.75,7785.25,7778,7784.75,5548
1786410900,7785,7786.5,7782.5,7785,2913
1786411800,7784.75,7785.75,7783.25,7784.25,1526
1786412700,7784.25,7786.5,7783.25,7783.25,2044
1786413600,7783.25,7784.25,7782.5,7783.75,1434
1786414500,7783.75,7785,7783,7784.75,1182
1786415400,7784.75,7786.5,7784.5,7786.5,1349
1786416300,7786.5,7786.5,7784,7784.5,1181
1786417200,7784.5,7786.5,7784.25,7785.75,987
1786418100,7785.75,7789.25,7785.5,7788.75,1742
1786419000,7788.5,7789,7786.75,7787.5,1011
1786419900,7787.25,7788.25,7786,7786.75,1100
1786420800,7786.75,7788.25,7786.5,7787.75,884
1786421700,7788,7788.5,7786.75,7788,890
1786422600,7788.25,7789.5,7786.75,7787.5,1253
1786423500,7787.5,7788.25,7786.75,7787,602
1786424400,7787,7789,7786,7788.75,812
