time,open,high,low,close,Volume
1734908400,6336.25,6377.25,6299.25,6370,928405
1734994800,6371,6433.75,6364.25,6433.25,337164
1735167600,6433.25,6441.75,6396.25,6425.75,590184
1735254000,6426.75,6429.5,6317,6363.25,1096015
1735513200,6362.75,6369.75,6252.5,6288.5,937874
1735599600,6289,6317.75,6250.75,6272.5,968812
1735772400,6281.25,6329.5,6209,6254.25,1201862
1735858800,6254.5,6331,6245.5,6320,770872
1736118000,6327.25,6402.5,6315,6362.5,914643
1736204400,6362.5,6379.75,6269.25,6289.25,1306967
1736290800,6289.25,6309.25,6251.25,6289.25,1146383
1736377200,6289,6291.5,6263.5,6278.5,119229
1736463600,6278,6293.75,6179.25,6195.5,1276010
1736722800,6198.75,6217.5,6143.25,6216.25,1143782
1736809200,6220.75,6253,6176.5,6225.5,1283747
1736895600,6226,6335.5,6213.75,6321.75,957096
1736982000,6323.25,6351.75,6296.25,6303.5,1094660
1737068400,6305.25,6386,6302.25,6366.75,915951
1737327600,6366.75,6427.5,6328.75,6426.5,1087731
1737500400,6427.25,6469.75,6421.25,6454.25,660837
1737586800,6454.75,6488,6435.75,6482.5,687137
1737673200,6482.5,6497.25,6456.25,6466,738909
1737932400,6440.75,6440.75,6282.25,6385,1514273
1738018800,6392.25,6439.75,6357.75,6425.75,978786
1738105200,6426.25,6445.5,6376.5,6410.5,989327
1738191600,6407.5,6450.5,6390.5,6426.5,1140868
1738278000,6437.75,6482,6392,6399.75,1241836
1738537200,6343.25,6395.5,6269.75,6389.5,1483767
1738623600,6401,6403.25,6321.25,6380,904369
1738710000,6378,6426.25,6354.25,6424,872676
1738796400,6423.25,6442.75,6404.25,6428.5,762643
1738882800,6425.25,6457.5,6375.5,6384.25,1160109
1739142000,6350.75,6430.25,6345.75,6421.75,737591
1739228400,6419.75,6432.75,6392,6425,765176
1739314800,6424.25,6432.5,6355,6414,1112692
1739401200,6414,6472.25,6387.75,6466.25,989510
1739487600,6465.25,6481.25,6455.5,6468,689533
1739746800,6472.5,6492,6452.5,6478.5,837222
1739919600,6478,6500.5,6462.5,6489,736889
1740006000,6488.5,6492.5,6437,6467.25,953914
1740092400,6467,6476.75,6359,6364,1267971
1740351600,6373.5,6401.75,6328.5,6339.75,1298658
1740438000,6342,6350.25,6258.25,6313.75,1680816
1740524400,6317.25,6358,6279.75,6324.5,1434800
1740610800,6315.75,6348.75,6207,6215.5,1835285
1740697200,6219.25,6305.5,6182,6292,1840783
1740956400,6301.75,6334.75,6156,6209.25,1899628
1741042800,6209.25,6218.5,6075.75,6159.5,2155497
1741129200,6166,6204,6085,6179.75,1770517
1741215600,6179.75,6188,6054.25,6095.5,1931181
1741302000,6099.5,6125.5,6007.25,6106.75,1834975
1741557600,6088,6091.5,5905.5,5963.5,2239732
1741644000,5959,5985.75,5868.75,5911,2233774
1741730400,5913.75,6008.75,5884.5,5932,1732698
1741816800,5932.25,5957.25,5843.5,5872.25,1929182
1741903200,5873.75,5983.25,5873,5963.75,1495631
1742162400,5961.25,6042,5933.25,6014,750031
1742248800,6013.75,6019.75,5932.75,5951.25,1208389
1742335200,5951.5,6052.25,5939.25,6011.5,1329013
1742421600,6015,6047,5964.25,5998,1350012
1742508000,5997.5,6005.5,5933,6001.75,1276085
1742767200,6021.75,6107.25,6021.5,6094.75,867127
1742853600,6095,6119,6083.25,6113.5,769541
1742940000,6112.75,6118.25,6024.75,6036.5,1076639
1743026400,6020,6061.5,6001.75,6023.5,1219576
1743112800,6023.75,6029.75,5884,5884.5,1259860
1743372000,5871.75,5954.25,5815.5,5926.75,1692601
1743458400,5925.5,5976.5,5882,5954,1614451
1743544800,5954,6058,5848.25,5866.75,1910816
1743631200,5836.5,5846.75,5697,5702.75,2026948
1743717600,5703.25,5716.75,5355.75,5378.75,2621942
1743976800,5288.75,5567.5,5114.25,5400,3750146
1744063200,5406.75,5586.25,5222.25,5293.75,2777555
1744149600,5288.75,5801.5,5155.25,5796.25,3071037
1744236000,5784.25,5810.5,5428.5,5585.5,2913323
1744322400,5581.75,5699.5,5488.5,5677.75,2234999
1744581600,5729,5779.5,5672.75,5713.75,1722154
1744668000,5713.75,5766.75,5694.75,5707,1486244
1744754400,5687.75,5707.25,5532.5,5581.75,1780306
1744840800,5588.5,5655.5,5567.25,5607.5,1574928
1745186400,5566,5591.25,5408.75,5465.75,1379624
1745272800,5464.75,5621,5453.5,5596.75,1631424
1745359200,5656.75,5781.75,5656.75,5692.25,1816923
1745445600,5689.75,5825.25,5637.25,5801.25,1581687
1745532000,5809.75,5845,5761.75,5834.5,1471639
1745791200,5825.5,5860.5,5774.5,5827,1227825
1745877600,5825.75,5879.25,5802.75,5864,1300135
1745964000,5862,5910.5,5737,5900.25,1806167
1746050400,5899.75,5964,5883.25,5892.75,1336423
1746136800,5889.75,6006.25,5882.5,5992.5,1309053
1746396000,5987,5988.75,5937,5953.25,1035331
1746482400,5948.75,5955.25,5886.75,5897.25,1313147
1746568800,5891.25,5972.5,5877.75,5928.25,1336176
1746655200,5927.5,6022.75,5918.25,5966.5,1387012
1746741600,5969.5,5997.5,5944.5,5965.5,1141181
1747000800,6025.25,6158,6015.75,6150,1497489
1747087200,6149.75,6208.5,6117.5,6182.5,1052789
1747173600,6183.5,6206.75,6171.75,6187.75,1102446
1747260000,6186,6226.25,6148.75,6215.75,1105274
1747346400,6217.25,6259.5,6204.75,6230.25,885381
1747605600,6212.25,6269.25,6174.5,6262.5,1109306
1747692000,6262,6275,6208.25,6236.25,1108376
1747778400,6236.25,6239.75,6129.5,6140.25,1730979
1747864800,6139.5,6176.75,6109.75,6149.5,1369704
1747951200,6150,6153.75,6038.25,6097,1529717
1748210400,6102,6223.5,6095,6222.25,1049447
1748383200,6223,6234.25,6171.75,6207.5,994371
1748469600,6205.75,6289.75,6165.5,6198.75,1390956
1748556000,6194.75,6214.5,6134.75,6195.5,1403929
1748815200,6180.25,6237.25,6149.25,6231,957540
1748901600,6231,6273,6190.75,6261.5,902277
1748988000,6261.75,6280.75,6255.75,6258.75,874125
1749074400,6258.25,6297.75,6210.5,6221.25,1065622
1749160800,6215.75,6306.75,6211.75,6291.75,1065622
1749420000,6291.75,6309.5,6274,6294,845572
1749506400,6295.25,6331,6272.75,6322.25,1028287
1749592800,6321,6356.5,6288,6309.75,1419135
1749679200,6309.75,6332.75,6263.5,6324,1183740
1749765600,6325.25,6326,6206.75,6259.75,1435265
1750024800,6231.25,6337.5,6225,6319.75,697447
1750111200,6321.75,6323,6259,6266.75,1046092
1750197600,6264.5,6302.75,6246.5,6265.5,1022878
1750284000,6266,6300,6197,6254,1446843
1750629600,6193.25,6310.5,6178,6306.75,1227929
1750716000,6306.75,6384.25,6304.25,6372,857053
1750802400,6372.75,6389.25,6359.75,6375,733656
1750888800,6373.5,6429,6370.25,6424,704673
1750975200,6428,6468,6412.5,6449.5,946157
1751234400,6452.25,6494.5,6452.25,6474.25,960372
1751320800,6474.5,6490.5,6456.25,6477.25,981330
1751407200,6477.25,6508.25,6464.5,6506.5,725806
1751493600,6505.75,6562.5,6499.25,6552.5,498408
1751580000,6536.25,6544.25,6475.25,6492.25,1248664
1751925600,6492.5,6518.25,6483.5,6501,906857
1752012000,6500.75,6544.25,6488.75,6535.25,957374
1752098400,6535.5,6564.5,6516.5,6550.5,805159
1752184800,6551.5,6559.5,6505.5,6523.25,931898
1752444000,6503.25,6544,6487.25,6538.5,750094
1752530400,6538,6578,6501.5,6502.5,1096446
1752616800,6502.75,6537.5,6469.75,6528.25,1245769
1752703200,6528.5,6574.5,6517.25,6571.25,775693
1752789600,6571.25,6586,6551,6564.5,758850
1753048800,6564.5,6603,6558.75,6577.5,722846
1753135200,6576.75,6582.75,6547.5,6576.5,871887
1753221600,6576,6636.5,6571.5,6634.75,909890
1753308000,6633.75,6647.25,6620.25,6635.25,743356
1753394400,6635.5,6660,6630.25,6657.5,604779
1753653600,6676,6686.75,6638,6653.5,747325
1753740000,6653.5,6671.5,6625.25,6632.5,803513
1753826400,6633.25,6664.25,6595.75,6655,855687
