time,open,high,low,close,Volume
1764630000,7001.25,7002.75,6993.25,6997.75,21899
1764637200,6997.5,7004.75,6994.25,7000.5,18943
1764644400,7000.25,7001,6986.5,6992.25,18618
1764651600,6992.25,6995.5,6985.5,6992,12929
1764658800,6992.25,7002,6983.5,7001,20758
1764666000,7000.75,7018,7000.25,7016.5,25146
1764673200,7016.25,7020.25,7008.5,7016.75,25626
1764680400,7016.5,7025.75,7011,7019.25,170020
1764687600,7019.5,7034.75,6989,7001.5,498052
1764694800,7001.75,7024.5,6995.25,7007,258535
1764702000,7006.75,7024.75,7003.5,7010.5,174922
1764709200,7010.5,7014.25,7009.25,7014,13894
1764716400,7013.75,7022.5,7008.5,7019.5,23450
1764723600,7019.75,7027,7018.75,7023.25,14077
1764730800,7023.25,7028.5,7021,7025.5,8205
1764738000,7025.5,7029,7020.5,7024.25,9977
1764745200,7024.5,7028.25,7017,7026.5,14354
1764752400,7026.5,7027,7017.5,7021.25,16506
1764759600,7021,7031.5,7018,7029.25,22491
1764766800,7029.25,7033.75,6988.75,7004,302158
1764774000,7004,7030.75,7002.5,7017,376037
1764781200,7017.25,7040.5,7016,7034.25,182646
1764788400,7034.25,7044.5,7030.5,7033.75,124591
1764795600,7033.75,7036.5,7032.75,7036,18277
1764802800,7037,7038,7029,7030.5,15868
1764810000,7030.75,7036.75,7028.25,7034.5,13345
1764817200,7034.5,7035,7028,7034,10177
1764824400,7034,7037.5,7032,7036.5,7182
1764831600,7036.5,7039.75,7025.5,7030.25,16500
1764838800,7030.25,7041.25,7027,7033.75,16855
1764846000,7034,7042.5,7031.5,7039.5,18055
1764853200,7039.5,7052,7021.5,7024.5,215223
1764860400,7024.75,7040,7015.75,7038.5,352696
1764867600,7038.25,7042.25,7027.75,7035.5,178329
1764874800,7035.5,7040.25,7007.5,7038.75,288488
1764882000,7038.5,7039.75,7035,7037,19347
1764889200,7037,7042.5,7032.5,7042,16521
1764896400,7042.25,7052.25,7041.25,7047.5,15647
1764903600,7047.25,7052,7046,7051.25,9757
1764910800,7051,7055,7050.25,7052,8379
1764918000,7052,7057.75,7049.75,7049.75,14891
1764925200,7049.75,7052.75,7047.75,7049,9266
1764932400,7049,7053.5,7047.25,7050.75,14586
1764939600,7050.5,7062.5,7027.75,7061,203328
1764946800,7061,7076.25,7042.25,7052.25,429166
1764954000,7052,7061.75,7037.5,7053.75,230158
1764961200,7054,7056.25,7038,7048,190053
1764968400,7047.75,7053,7047.5,7050.75,20522
1765148400,7054,7057.5,7044,7052.25,26464
1765155600,7052.25,7058.75,7051,7058.5,13836
1765162800,7058.75,7062.75,7057.5,7062,7984
1765170000,7062,7063.75,7059,7059.5,7639
1765177200,7059.25,7065.25,7054.5,7055.75,14476
1765184400,7055.75,7061,7053.5,7058.5,11749
1765191600,7058.25,7061,7052,7058.75,14868
1765198800,7059,7064.5,7040.5,7045.25,113428
1765206000,7045.25,7048.75,7019.75,7024.5,237486
1765213200,7024.5,7035,7006.5,7012,238273
1765220400,7012.25,7029,7007.5,7027.75,164697
1765227600,7027.75,7035.75,7024.25,7035.5,34855
1765234800,7036.25,7040,7031.25,7038,19646
1765242000,7038,7039.25,7030.25,7033.75,16271
1765249200,7033.5,7034.75,7031.5,7032.5,6208
1765256400,7032.5,7034.25,7026.25,7033.5,9176
1765263600,7033.25,7039.5,7032.25,7035,11523
1765270800,7035,7035,7016,7032.25,33277
1765278000,7032,7033.75,7023.75,7030,22170
1765285200,7030,7035.75,7016,7034,143995
1765292400,7034.75,7044.25,7025.75,7039.75,276706
1765299600,7039.75,7043.75,7023.75,7030.75,191673
1765306800,7030.75,7031.5,7015.75,7020.5,166854
1765314000,7020.5,7021,7015,7017.75,21007
1765321200,7017.75,7022.25,7014.5,7014.75,13011
1765328400,7014.5,7020,7013.5,7018.75,10960
1765335600,7018.5,7025.5,7016,7022.75,8650
1765342800,7022.5,7024.5,7017,7023,7547
1765350000,7022.75,7030.5,7021.25,7026,16963
1765357200,7026,7029,7005.5,7012,29224
1765364400,7012,7021.25,7009.5,7014.25,24406
1765371600,7014.5,7027.5,7002,7020.25,179960
1765378800,7020.25,7028,7003.25,7025,293115
1765386000,7025,7031.5,7013.25,7017.5,130062
1765393200,7017.75,7079.25,7015.75,7063.5,487764
1765400400,7063.5,7067.25,7056.25,7064.5,30544
1765407600,7059.25,7062.5,7043,7045.5,27183
1765414800,7045.5,7046.5,7017.75,7022.75,35326
1765422000,7022.5,7022.75,6988.5,7008.5,66640
1765429200,7008.5,7009.75,6999.5,7008.5,20689
1765436400,7008.5,7014.25,6999.75,7013,38513
1765443600,7013,7029.25,7011.25,7023.75,36233
1765450800,7024,7048,7022.5,7045.5,39858
1765458000,7045.25,7046.5,7010.5,7014,279002
1765465200,7014.25,7058,7009.25,7043,427803
1765472400,7043,7074.5,7041.75,7067.75,203613
1765479600,7067.75,7080.5,7066.25,7079.25,150356
1765486800,7079.25,7100.25,7078.25,7095.75,41681
1765494000,7086.25,7087,7069.75,7072.25,36006
1765501200,7072.25,7083,7072,7081,18469
1765508400,7080.75,7082,7074.5,7076,12717
1765515600,7075.75,7084.5,7075.5,7079,13123
1765522800,7078.75,7083.75,7075,7081,19563
1765530000,7080.75,7081.75,7063.25,7069.25,41309
1765537200,7069.25,7072.75,7060.75,7068,43789
1765544400,7068.25,7080.25,7057,7060.25,239266
1765551600,7060.25,7061,6976.25,6990.75,710381
1765558800,6990.5,7028.25,6988,7010.5,314217
1765566000,7010.75,7011.75,6985.75,7002.25,255000
1765573200,7002.5,7008.5,7001,7004.75,28533
1765753200,7004,7015,6989.75,7013.5,20702
1765760400,7013.75,7022,7010,7017.25,13017
1765767600,7017.5,7022.25,7013.25,7021.25,7078
1765774800,7021,7023,7016.25,7021,5918
1765782000,7020.75,7028,7013.25,7025.75,12973
1765789200,7025.5,7036.25,7023.25,7035.5,13963
1765796400,7035.5,7037.75,7029.75,7035.5,13862
1765803600,7035.5,7043.75,7008,7009.5,78276
1765810800,7009.25,7015.25,6977.25,6993.25,189991
1765818000,6993.25,6999.25,6978.75,6994.75,87326
1765825200,6994.75,7002.5,6989,6992,70037
1765832400,6992,6997,6990.5,6995,7967
1765839600,6998,6999.25,6976.5,6979.75,26102
1765846800,6979.75,6983.5,6952,6960,47540
1765854000,6960,6967,6952.5,6964.5,19624
1765861200,6964.25,6965,6950.75,6956.25,16374
1765868400,6956.5,6971.25,6946.25,6970.5,29510
1765875600,6970.5,6983.5,6960.25,6978,27571
1765882800,6977.75,6993.25,6976,6988.25,29023
1765890000,6987.75,7005,6959,6991.25,277019
1765897200,6991,6994,6946,6964.75,458450
1765904400,6965,6971.5,6930.75,6959.75,279722
1765911600,6960,6986.75,6939.25,6969,254379
1765918800,6969,6971,6958.25,6961.75,27768
1765926000,6964.75,6968.5,6948.5,6956.75,39339
1765933200,6957,6970.5,6957,6968.5,25853
1765940400,6968.25,6970.75,6959,6960,14127
1765947600,6960.25,6977.5,6956,6973.25,16761
1765954800,6973.25,6982.75,6971,6978.25,28132
1765962000,6978.25,6995.75,6975.75,6994.25,25785
1765969200,6994,6996.25,6989.75,6992,21763
1765976400,6992,6994.25,6954.75,6971.25,251433
1765983600,6971.25,6975.75,6908,6919.5,497482
1765990800,6919.75,6928.25,6897.25,6902,244589
1765998000,6902,6910.25,6889,6890.25,189726
1766005200,6890.25,6908.5,6890.25,6900,39120
1766012400,6903.25,6906.75,6889.5,6905.5,36773
1766019600,6905.5,6908.5,6896.5,6899.25,24959
1766026800,6899,6902.5,6884.75,6902,20502
1766034000,6902,6902.75,6894,6899.5,11827
1766041200,6899.5,6914.5,6899.25,6912,25692
1766048400,6911.75,6921.75,6908.25,6918.75,20590
1766055600,6918.75,6925.75,6917,6918.5,22111
1766062800,6918.5,6963.75,6914.25,6958,314372
1766070000,6958,6985.75,6938.25,6973.25,381942
1766077200,6973.25,6974.25,6925.25,6959.25,422945
1766084400,6959,6963.5,6929.75,6942,321882
1766091600,6942,6943.25,6933.25,6936.5,26115
1766098800,6938.5,6944.75,6933,6941.75,23539
1766106000,6941.75,6947,6935.5,6939.5,17379
1766113200,6939.5,6950.5,6935.75,6947.5,16289
1766120400,6947.25,6948,6934,6940.75,13090
1766127600,6941,6964.75,6940.75,6961.75,26043
1766134800,6961.5,6967.75,6958,6960.5,19238
1766142000,6960,6961.5,6942.5,6943.75,32707
1766149200,6943.75,6995,6942.25,6994.25,206207
1766156400,6993.5,7002,6980.25,6993.25,258159
1766163600,6993,7007.25,6992.5,6998.5,110126
1766170800,6998.25,7006.25,6992.75,7002.25,124709
1766178000,7002,7008.75,6999.75,7006.75,25439
1766358000,7019.25,7023.25,7013.75,7014.25,23412
1766365200,7014.25,7022.75,7014.25,7021.5,12610
1766372400,7021.75,7022.75,7017,7018.25,7914
1766379600,7017.75,7021.5,7014.75,7020.25,6868
1766386800,7020.25,7026.75,7018.5,7019.25,12492
1766394000,7019,7025.75,7018.75,7024.5,8303
1766401200,7024.5,7029,7022.75,7028.25,14882
1766408400,7028.25,7041.25,7025.25,7035.5,163181
1766415600,7035.75,7046,7022,7045.5,252038
1766422800,7045.75,7050,7039,7040.75,111141
1766430000,7040.75,7047.25,7037.75,7043.25,120750
1766437200,7043.25,7046,7042.25,7044.25,16153
1766444400,7044.5,7047,7043,7046,9720
1766451600,7046,7049.25,7041.75,7046.5,10115
1766458800,7046.5,7047.75,7038.75,7039.75,7498
1766466000,7039.5,7041,7035.75,7037.75,8729
1766473200,7038,7046,7036.5,7042.75,9435
1766480400,7042.75,7050.25,7042.5,7046.5,11271
1766487600,7046.5,7047,7037.5,7041.75,12741
1766494800,7041.5,7057,7026.75,7048.75,161577
1766502000,7048.75,7065.25,7037.5,7064,202276
1766509200,7064,7072.75,7061.75,7070.25,77311
1766516400,7070.25,7077.25,7070,7073.75,91738
1766523600,7073.75,7075.5,7070.25,7071,21717
1766530800,7072,7073,7069.25,7071.25,8005
1766538000,7071.5,7073.25,7067.25,7068.25,6587
1766545200,7068.25,7069.75,7066.5,7067.25,3891
1766552400,7067,7069,7066,7068.25,3625
1766559600,7068.5,7069.75,7066,7068.25,3786
1766566800,7068.25,7072.25,7067.5,7070.25,5709
1766574000,7070.5,7074.25,7069,7073.75,5731
1766581200,7073.5,7080.75,7070.25,7079.5,70394
1766588400,7079.25,7099,7078.25,7097.5,121482
1766595600,7097.5,7101.5,7090.5,7093.5,65920
1766703600,7094.5,7108.5,7093.75,7101.25,12618
1766710800,7101.25,7102.5,7094.25,7096.5,7431
1766718000,7096.5,7097.75,7092.25,7094.75,4864
1766725200,7094.75,7095.5,7092,7092.5,3582
1766732400,7092.75,7093.25,7087.5,7091,7164
1766739600,7090.75,7095.5,7090.25,7093.5,6893
1766746800,7093.75,7095.25,7088.5,7093.75,7250
1766754000,7093.75,7107.5,7092.25,7098.25,101021
1766761200,7098.25,7100.25,7086.5,7090.25,174914
1766768400,7090,7093.25,7082.5,7092.5,99523
1766775600,7092.5,7095,7089.75,7093.5,81475
1766782800,7093.75,7094.5,7089.75,7090.5,13321
1766962800,7093.5,7098.5,7090.25,7097.75,17003
1766970000,7097.5,7098.25,7086.25,7088.25,13472
1766977200,7088,7093,7086.25,7090,6870
1766984400,7090,7090.5,7084,7085,9812
1766991600,7085.25,7086.75,7071,7072.25,20191
1766998800,7072.75,7080.25,7072.75,7076,12451
1767006000,7076.25,7080.25,7069.75,7073.25,14704
1767013200,7073.25,7081.25,7055.75,7064.75,167834
1767020400,7064.75,7073.25,7055.25,7059.75,254849
1767027600,7060,7068.25,7049.75,7061.5,109456
1767034800,7061.5,7076,7057.75,7068.75,108401
1767042000,7068.5,7071,7065.5,7069.75,16114
1767049200,7070.5,7071.25,7062.75,7063.25,10408
1767056400,7063.25,7067.5,7061.75,7063.75,6288
1767063600,7063.5,7071,7063.5,7070,5909
1767070800,7070.25,7071,7063.75,7065.5,5050
1767078000,7065.5,7069.25,7057,7068.5,10685
1767085200,7068.25,7070.75,7064.5,7065.25,8379
1767092400,7065,7069.25,7060.5,7065.25,11936
1767099600,7065.25,7074.25,7057.5,7069.75,104821
1767106800,7069.75,7075,7054,7061,197233
1767114000,7061,7067.75,7057,7066,86274
1767121200,7066.25,7068,7055.75,7058.5,91545
1767128400,7058.5,7060.5,7056.25,7058.75,17830
1767135600,7058.5,7061.75,7045.75,7047,18130
1767142800,7047,7051.5,7041.75,7051,16683
1767150000,7050.75,7052.5,7047.5,7048.5,6671
1767157200,7048.5,7049.75,7040.25,7043,8643
1767164400,7042.75,7046.25,7035.75,7037,13255
1767171600,7037,7042,7036.25,7040,9337
1767178800,7040.5,7050.5,7040.25,7049.75,12722
1767186000,7049.75,7065,7038.75,7045.5,120802
1767193200,7045.75,7046.75,7027.25,7039.5,176760
1767200400,7039.5,7047,7032,7044.5,95625
1767207600,7044.75,7048.75,7003.5,7005.25,217939
1767214800,7005.25,7011.25,7005,7007.25,25205
1767308400,7014.5,7018.5,7010.5,7018.25,17240
1767315600,7018.25,7033.5,7018,7032.75,16943
1767322800,7032.5,7038.25,7031.75,7035.75,10097
1767330000,7035.75,7039.25,7033.75,7037,7753
1767337200,7037,7046.25,7034,7044.5,16500
1767344400,7044.5,7052,7044,7049.25,16632
1767351600,7049.5,7051.5,7041.5,7044.75,14726
1767358800,7044.75,7052.75,7025,7046.25,157821
1767366000,7046.25,7053.25,6984.75,6993.75,558259
1767373200,6993.5,7010.75,6980,6987.25,208003
1767380400,6987.25,7022,6985.25,7013.75,228643
1767387600,7014,7019,7011.25,7014.25,23869
1767567600,7024.75,7028,7012.75,7021.5,35370
1767574800,7021.5,7026.25,7019.5,7025,18488
1767582000,7024.75,7026.25,7019.75,7025.25,9249
1767589200,7025.5,7029,7020.25,7028.75,11156
1767596400,7028.75,7034.25,7019.5,7029.75,20396
1767603600,7029.75,7035.5,7025.25,7033.75,16771
1767610800,7033.75,7039.25,7031.25,7034.5,19398
1767618000,7034.5,7061.25,7025.75,7053.25,197773
1767625200,7053.25,7077,7048.5,7071.25,263237
1767632400,7071.5,7073.75,7058.5,7067.75,147211
1767639600,7068,7069.75,7053.5,7059.5,155552
1767646800,7059.75,7060.5,7056,7057.25,17777
1767654000,7058.5,7061.5,7053,7054.75,12512
1767661200,7055,7065,7053.75,7064.75,13309
1767668400,7064.75,7068.25,7063.5,7067.5,7410
1767675600,7067.5,7072.25,7066,7070.75,7343
1767682800,7070.5,7070.75,7044.5,7050.5,23967
1767690000,7050.5,7058,7049.25,7053.75,19235
1767697200,7054,7062.75,7052.5,7061.5,15962
1767704400,7061.25,7083.5,7052.25,7082.5,162868
1767711600,7082.75,7090.75,7063.75,7075.25,263588
1767718800,7075.25,7099.25,7072.5,7099,130879
1767726000,7099,7105.25,7098.25,7099.75,98711
1767733200,7099.75,7102.75,7099.5,7102,18249
1767740400,7102.5,7105.25,7099.75,7102,11618
1767747600,7102.25,7104.5,7099.5,7100.75,7226
1767754800,7100.75,7102.75,7097.5,7098.5,6746
1767762000,7098.5,7100.75,7094.5,7095,7982
1767769200,7094.75,7098.5,7092.25,7092.75,9987
1767776400,7092.5,7094.75,7088.75,7092,14666
1767783600,7092,7098.5,7090.75,7097.25,17644
1767790800,7097,7111.75,7094,7106,135012
1767798000,7106,7116,7089.75,7115.5,306431
1767805200,7115.5,7120.25,7100.5,7108.5,169764
1767812400,7108.75,7109.25,7072.75,7076.25,235370
1767819600,7076.25,7080.75,7071.25,7080.25,25079
1767826800,7080.75,7083.25,7075.75,7081.75,15061
1767834000,7082,7082.25,7068.75,7071.25,13660
1767841200,7071,7072,7066.75,7068,8861
1767848400,7068.25,7069,7048.75,7055,20900
1767855600,7055.25,7071.5,7050.25,7065,30109
1767862800,7065.25,7069,7058,7063.75,14801
1767870000,7063.5,7066.75,7057,7062.75,26382
1767877200,7062.5,7073.25,7053.5,7061.75,219865
1767884400,7061.75,7080.75,7057.5,7079,385839
1767891600,7078.75,7086,7067.25,7068.75,188110
1767898800,7068.5,7080.75,7062.75,7074.25,178994
1767906000,7074.25,7091.25,7074.25,7084.75,25731
1767913200,7086,7087.5,7074.5,7075,14420
1767920400,7075,7078.25,7067.75,7076.25,15628
1767927600,7076.25,7077.25,7071.25,7074.75,5879
1767934800,7075.25,7078.75,7072,7076.75,5866
1767942000,7077,7079,7069.75,7071,12694
1767949200,7071.5,7082.75,7070.25,7080,11504
1767956400,7080,7087,7078.75,7085.5,16075
