time,open,high,low,close
1672700400,4658,4672.25,4615.25,4633.75
1672714800,4633.5,4646.5,4632,4642.75
1672729200,4642.5,4679.5,4638,4669.5
1672743600,4669.5,4673.75,4625.5,4626
1672758000,4626.25,4634.75,4586.5,4607
1672772400,4607.25,4621.5,4589.5,4615.5
1672786800,4616.25,4626,4610.5,4618
1672801200,4618,4626.75,4617,4625.75
1672815600,4625.5,4639,4624.5,4629.75
1672830000,4629.5,4650.75,4622.75,4641.5
1672844400,4641.5,4668.75,4608.75,4651.25
1672858800,4651.25,4665.75,4620,4643.25
1672873200,4643.25,4648.25,4629.5,4634.5
1672887600,4634.25,4646.75,4632.75,4635.75
1672902000,4636,4651.5,4628.25,4648.5
1672916400,4648.5,4657.75,4595.75,4608.25
1672930800,4608.25,4626.75,4594.5,4613
1672945200,4613.25,4624.5,4596,4605
1672959600,4605.5,4617.75,4603.75,4616.75
1672974000,4617,4621.5,4611.5,4613.25
1672988400,4613,4617.25,4596,4600.75
1673002800,4600.25,4648.75,4574.25,4614.75
1673017200,4614.75,4676.75,4614.75,4675.25
1673031600,4675.5,4701,4675.5,4686.25
1673218800,4689.5,4699.25,4689,4696.5
1673233200,4696.75,4703.75,4694.75,4699
1673247600,4699.25,4706.75,4688.75,4704.25
1673262000,4704.25,4724.75,4698,4724
1673276400,4724,4745.5,4706.5,4712.75
1673290800,4712.75,4719,4682,4685.5
1673305200,4685.5,4687,4669.75,4675.25
1673319600,4675.25,4682.5,4670.25,4680.75
1673334000,4680.75,4687.75,4674.25,4682.75
1673348400,4682.75,4699.5,4663.75,4691
1673362800,4691.25,4707.25,4669.5,4702.75
1673377200,4702.75,4716,4695,4713.75
1673391600,4713.5,4719.25,4710.75,4713.25
1673406000,4713.5,4718.5,4711.5,4712.25
1673420400,4712,4726.75,4706.75,4719.75
1673434800,4719.5,4739,4714.5,4730.25
1673449200,4730.5,4750.5,4720.75,4743.75
1673463600,4744,4764.5,4739,4764.25
1673478000,4764.25,4764.5,4757.5,4761
1673492400,4761,4767.75,4760.25,4760.25
1673506800,4760.25,4764.25,4757.25,4761.75
1673521200,4761.25,4794,4726,4742.5
1673535600,4742.5,4790.75,4741.75,4788.5
1673550000,4788.5,4790.75,4764,4774.75
1673564400,4775.25,4780.5,4762.75,4766.25
1673578800,4766.5,4770,4763.5,4769.25
1673593200,4769.5,4778.25,4765.5,4775.25
1673607600,4775,4775.25,4733.75,4752.5
1673622000,4752.25,4782.25,4746.25,4780.5
1673636400,4780.25,4796.5,4776.5,4791.75
1673823600,4791.75,4800.75,4783.75,4797.5
1673838000,4797.75,4798.25,4786.75,4788.75
1673852400,4788.75,4788.75,4769,4779.75
1673866800,4779.75,4791.5,4777.25,4789.75
1673881200,4790,4792.75,4780.25,4782.25
1673910000,4782,4789.75,4775.75,4778.25
1673924400,4778,4780,4773.75,4774.5
1673938800,4774.25,4783.5,4772.75,4780.75
1673953200,4780.75,4796.5,4774.5,4790.5
1673967600,4790.75,4807.5,4775,4791.25
1673982000,4791.5,4793.25,4776,4781.25
1673996400,4781,4801.25,4766.5,4788.75
1674010800,4788.75,4792.25,4780.25,4789.75
1674025200,4790,4792.75,4780.25,4786
1674039600,4786,4804.75,4782.75,4799.5
1674054000,4799.75,4806,4728.75,4739.25
1674068400,4739.5,4742.75,4716,4718.25
1674082800,4718,4721,4709.5,4715
1674097200,4714.75,4717.5,4707.75,4708.5
1674111600,4708.5,4716.75,4694.5,4698
1674126000,4698,4706,4679,4694.25
1674140400,4694.5,4707.75,4674,4699.75
1674154800,4699.75,4712.5,4687,4692.5
1674169200,4696.5,4698.25,4689.75,4693.5
1674183600,4693.5,4699,4693,4696.5
1674198000,4696.75,4705.25,4684,4694
1674212400,4694.25,4704,4684.5,4698
1674226800,4698.25,4738,4694,4736
1674241200,4736.25,4762.5,4734,4760.25
1674428400,4759.5,4762.25,4753,4756.5
1674442800,4756.5,4761.75,4755.25,4760
1674457200,4760,4767.25,4753,4757.5
1674471600,4757.75,4784.75,4752.5,4780.5
1674486000,4780.5,4828.75,4778,4822.25
1674500400,4822.5,4822.5,4789.25,4809.25
1674514800,4808,4811,4803.25,4808
1674529200,4808,4813.5,4806,4809.5
1674543600,4809.5,4810.5,4797.25,4802.25
1674558000,4802,4803,4781.25,4785.25
1674572400,4785.25,4813.25,4777.5,4809.5
1674586800,4809.5,4819.5,4794.25,4811.5
1674601200,4811.25,4812.25,4782.5,4787.25
1674615600,4787.5,4792,4785.5,4790.25
1674630000,4790.25,4795.5,4768.75,4775.5
1674644400,4775.5,4779,4743.25,4744
1674658800,4743.75,4794.75,4735.5,4790.75
1674673200,4790.75,4811.75,4787.5,4802.25
1674687600,4802.75,4812.25,4800.5,4808.25
1674702000,4808,4820.25,4806.75,4817.25
1674716400,4817,4821.75,4806.5,4812.75
1674730800,4812.75,4840.5,4807.5,4815
1674745200,4815,4835,4799.75,4828.75
1674759600,4829,4849.25,4824.75,4839.75
1674774000,4838.5,4839.25,4833.5,4836.75
1674788400,4836.75,4838.5,4830.75,4835
1674802800,4835,4838.25,4829.25,4837.5
1674817200,4837.75,4855.25,4827.25,4850
1674831600,4849.5,4867.25,4835,4864
1674846000,4864,4881.5,4853.5,4855.75
1675033200,4850,4858,4843.75,4847
1675047600,4847,4848.25,4838.75,4840.75
1675062000,4840.75,4841.25,4816,4823.25
1675076400,4823.25,4844.75,4812.25,4842.5
1675090800,4842.25,4850.25,4815.5,4821.25
1675105200,4821,4823,4801.75,4812.25
1675119600,4810.5,4816.25,4807.75,4809.5
1675134000,4809.75,4810.5,4799,4803.75
1675148400,4803.75,4813.75,4784.75,4785
1675162800,4785.25,4821.75,4779.75,4810.75
1675177200,4810.5,4841.5,4805.5,4840.75
1675191600,4840.75,4863.5,4834.5,4858
1675206000,4857.5,4859,4847.5,4848.25
1675220400,4848.25,4854.5,4848.25,4852
1675234800,4851.75,4856.75,4843.25,4845.5
1675249200,4845.25,4862,4844,4860
