appId,title,developer,score,ratings,reviews,installs,genre,url
com.calm.calm,Calm,Msoft Ghana Limited,,,,16,Health & Fitness,https://play.google.com/store/apps/details?id=com.calm.calm&hl=en&gl=us
com.myfitnesspal.android,MyFitnessPal: Calorie Counter,"MyFitnessPal, Inc.",4.402043,2911203,454155,136025108,Health & Fitness,https://play.google.com/store/apps/details?id=com.myfitnesspal.android&hl=en&gl=us
com.thehungrywasp.iamsober,I Am Sober,I Am Sober LLC,4.7374816,140459,12329,12426384,Lifestyle,https://play.google.com/store/apps/details?id=com.thehungrywasp.iamsober&hl=en&gl=us
app.sunflowersober.com,Sober Day Counter - Sunflower,Sunflower Sober - Quit Tracker,4.763754,5748,561,477726,Health & Fitness,https://play.google.com/store/apps/details?id=app.sunflowersober.com&hl=en&gl=us
com.trifoiltrailblazer.sober_tracker,Sober Tracker: Quit Alcohol,Trifoil Trailblazer,4.86,1102,24,43366,Health & Fitness,https://play.google.com/store/apps/details?id=com.trifoiltrailblazer.sober_tracker&hl=en&gl=us
com.freshpath.app,FreshPath - Sobriety Counter,Michael Lugo,,,,309,Lifestyle,https://play.google.com/store/apps/details?id=com.freshpath.app&hl=en&gl=us
com.sidekick.app.sobersidekick,Sober Sidekick: Quit Addiction,Empathy Health Tech,4.8186245,24472,3781,1218592,Health & Fitness,https://play.google.com/store/apps/details?id=com.sidekick.app.sobersidekick&hl=en&gl=us
com.chora.SoberUp,GoSober: Sobriety Tracker,Chiaro Apps,,,,346,Lifestyle,https://play.google.com/store/apps/details?id=com.chora.SoberUp&hl=en&gl=us
com.tilakapps.soberTracker,Sober Tracker: Go Alcohol Free,Tilak Shakya,,,,1041,Health & Fitness,https://play.google.com/store/apps/details?id=com.tilakapps.soberTracker&hl=en&gl=us
com.abdullah.sober,Sober: Sobriety Habit Tracker,Abdullah Riaz,4.74359,107,10,12269,Lifestyle,https://play.google.com/store/apps/details?id=com.abdullah.sober&hl=en&gl=us
com.glucobit.reframe,Reframe: Cut Back on Alcohol,Glucobit Inc.,4.3550134,5752,649,670358,Health & Fitness,https://play.google.com/store/apps/details?id=com.glucobit.reframe&hl=en&gl=us
com.sociosoft.sobertime,Sober Time - Sober Day Counter,Sociosoftware LLC,4.7854834,65029,11992,1716955,Lifestyle,https://play.google.com/store/apps/details?id=com.sociosoft.sobertime&hl=en&gl=us
app.sobermark,Sobermark: Sober Day Counter,Digital Highrise Ltd,,,,35,Health & Fitness,https://play.google.com/store/apps/details?id=app.sobermark&hl=en&gl=us
org.sobersideup.plus,Sober Side Up Plus,Sober Side Up Studios,,,,4,Lifestyle,https://play.google.com/store/apps/details?id=org.sobersideup.plus&hl=en&gl=us
com.soberbud.app,SoberBud – Sobriety Counter,Fishline Media,4.2222223,10,5,2726,Health & Fitness,https://play.google.com/store/apps/details?id=com.soberbud.app&hl=en&gl=us
com.loosidapp,Loosid: Sober Recovery Network,Loosid App LLC,4.6896553,1253,516,190094,Social,https://play.google.com/store/apps/details?id=com.loosidapp&hl=en&gl=us
com.alcohol_free_tracker.sober_counter,SoberMe - Alcohol Free Tracker,Frostrabbit LLC,,,,338,Lifestyle,https://play.google.com/store/apps/details?id=com.alcohol_free_tracker.sober_counter&hl=en&gl=us
com.affecttherapeutics,Affect: Addiction Recovery,Affect Therapeutics,4.4462366,3717,1274,466704,Medical,https://play.google.com/store/apps/details?id=com.affecttherapeutics&hl=en&gl=us
com.twelve_steps.twelve_steps,OpenRecovery,OpenRecovery,4.69,1045,143,56342,Health & Fitness,https://play.google.com/store/apps/details?id=com.twelve_steps.twelve_steps&hl=en&gl=us
